BOMコード,製品コード,製品名,材料コード,材料名,使用量,単位,ロス率(%),純使用量,工程,備考
BOM-019-06,PRD-019,チョコブラウニー,RAW-016,ココアパウダー,20,g,3,21,生地混合,
BOM-019-07,PRD-019,チョコブラウニー,RAW-021,クルミ(ロースト),30,g,2,31,生地混合,トッピング
BOM-019-08,PRD-019,チョコブラウニー,PKG-003,OPP袋(小),1,個,0,1,包装,
BOM-020-01,PRD-020,バウムクーヘン(小),RAW-001,薄力粉,100,g,3,103,生地混合,
BOM-020-02,PRD-020,バウムクーヘン(小),RAW-008,鶏卵,3,個,2,4,生地混合,
BOM-020-03,PRD-020,バウムクーヘン(小),RAW-003,上白糖,120,g,2,123,生地混合,
BOM-020-04,PRD-020,バウムクーヘン(小),RAW-007,マーガリン,80,g,3,82,生地混合,
BOM-020-05,PRD-020,バウムクーヘン(小),RAW-009,牛乳,50,ml,3,52,生地混合,
BOM-020-06,PRD-020,バウムクーヘン(小),RAW-013,ベーキングパウダー,4,g,5,5,生地混合,
BOM-020-07,PRD-020,バウムクーヘン(小),PKG-004,OPP袋(大),1,個,0,1,包装,
BOM-020-08,PRD-020,バウムクーヘン(小),PKG-007,シール(ブランドロゴ),1,枚,0,1,包装,
